set	type	recall@10	recall@20	dcg@20	ndcg@20	precision@20	mae@50	map@20	hit_rate@20
test	all-type	0.16024	0.22381	0.10680	0.10680	0.01119	0.99344	0.07394	0.22381
test	rec-type	0.18684	0.26361	0.12079	0.12079	0.01318	0.99220	0.08078	0.26361
test	search-type	0.14700	0.20399	0.09983	0.09983	0.01020	0.99406	0.07053	0.20399
